State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,AMALUMA,243374,25.752952,93.628558,AMALUMA,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,BADE,243388,25.826824,93.684851,BADE,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,DAINIEL VILLAGE,243390,25.718982,93.560745,DAINIEL VILLAGE,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,DHANSIRIPAR,243369,25.773371,93.619629,DHANSIRIPAR,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,DHANSIRIPAR BLOCK,888888,25.785976,93.626483,DHANSIRIPAR BLOCK,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,DIESEPHE,243386,25.837176,93.701081,DIESEPHE,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,DISAGAPHU,243381,25.776441,93.679917,DISAGAPHU,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,DOYAPUR,243373,25.761465,93.602212,DOYAPUR,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,GENESH NAGAR,243370,25.761209,93.596711,GENESH NAGAR,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,GHOWOTO,243375,25.720682,93.648485,GHOWOTO,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,HAZADISA,243367,25.735569,93.559398,HAZADISA,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,K. XEKIYE,243391,25.757055,93.700761,K. XEKIYE,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,KHEKIHO,243385,25.741197,93.573625,KHEKIHO,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,KIYETO,243382,25.796167,93.648718,KIYETO,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,LHOTHAVI,243371,25.735086,93.616297,LHOTHAVI,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,MANGLAMUKH,243366,25.719396,93.547623,MANGLAMUKH,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,MURISE,243383,25.843365,93.694489,MURISE,2
NAGALAND,13,DIMAPUR,268,DHANSIRIPAR,2313,PIMLA,243377,25.736975,93.663475,PIMLA,2
