,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,Hingoli,1.97769398369,AADGAON,19.8945,77.182667,2358.0,37.728,Adgaon,19.88463799,77.19840713
1,Hingoli,2.31050847788,AMBHERI,19.725083,77.237111,1268.0,20.288,Ambheri,19.72816051,77.25894191
2,Hingoli,1.13088240763,AMLA,19.777319,77.052457,1072.0,17.152,Amla,19.78691518,77.0488771
3,Hingoli,0.852893912306,ANDHARWADI,19.738021,77.142997,1354.0,21.664,Andharwadi,19.74089118,77.15055408
4,Hingoli,4.50370919986,PAHANI,19.74237,76.990779,701.0,11.216,Atharwadi,19.72307359,76.95294662
5,Hingoli,1.65213748075,BALSOND,19.750637,77.158461,5008.0,80.128,Balsond,19.74599663,77.17345784
6,Hingoli,2.16856402826,BASAMBA,19.765965,77.176806,994.0,15.904,Basamba,19.76047336,77.19669044
7,Hingoli,1.70898975907,BELURA,19.872806,77.202583,1493.0,23.888,Belura,19.86745261,77.21790184
8,Hingoli,2.57349766363,KHARBI,19.750055,77.107963,591.0,9.456,Belwadi,19.72944346,77.11914684
9,Hingoli,2.11230782132,BHANDEGAON,19.808694,77.126694,2456.0,39.296,Bhandegaon,19.81233064,77.14651195
10,Hingoli,1.64426324865,BHINGI,19.908028,77.209639,1476.0,23.616,Bhingi,19.90128616,77.22363608
11,Hingoli,1.38956088207,BHIRDA,19.795134,77.188981,1102.0,17.632,Bhirda,19.79585505,77.20224033
12,Hingoli,1.72543085839,BHOGAON,19.739635,77.203312,389.0,6.224,Bhogaon,19.73908273,77.21978746
13,Hingoli,0.76223661937,BODKHI,19.88153,77.139263,701.0,11.216,Bodkhi,19.8867274,77.13451002
14,Hingoli,4.16408583004,BONDALA,19.89225,77.153139,728.0,11.648,Bondala,19.89991663,77.19212114
15,Hingoli,0.344171729574,BORALA,19.820389,77.065833,1473.0,23.568,Borala,19.8181569,77.06355368
16,Hingoli,0.787813008847,BORALWADI,19.839486,77.065944,844.0,13.504,Boralwadi,19.84460719,77.06073905
17,Hingoli,1.58110577515,BORISHEKARI,19.689917,77.195944,1425.0,22.8,Bori Shikari,19.69168593,77.21092902
18,Hingoli,0.388709980534,BORJA,19.814889,77.341111,539.0,8.624,Borja,19.81670838,77.34428386
19,Hingoli,1.24170564523,BRAMAPHURI,19.791306,76.981194,752.0,12.032,Bramhapuri,19.79561877,76.97024673
20,Hingoli,2.16527729962,MALWADI,19.699148,77.170331,257.0,4.112,Chikhalwadi,19.70849805,77.18847452
21,Hingoli,1.8344640511,CHINCHOLI,19.776809,77.246989,1378.0,22.048,Chincholi,19.77906934,77.26435559
22,Hingoli,3.61923958131,KANADKHEDA KH,19.969111,77.176056,287.0,4.592,Chinchpuri,19.97920241,77.20898127
23,Hingoli,0.699677326865,CHORJAWALA,19.842194,77.087361,1305.0,20.88,Chorjawala,19.84753212,77.09090271
