STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
15,281,01896,271013,Kanhmun,1482,2406,ZAWLNUAM,264553,Kanhmun,,
15,281,01896,271014,Luimawi,507,2406,ZAWLNUAM,264564,Luimawi,,
15,281,01896,271016,Thinghlun,831,2406,ZAWLNUAM,264601,Thinghlun,,
15,281,01896,271017,Kolalian,645,2406,ZAWLNUAM,264560,Kolalian,,
15,281,01896,271018,Hriphaw,748,2406,ZAWLNUAM,264550,Hriphaw,,
15,281,01896,271019,Bungthuam,688,2406,ZAWLNUAM,264537,Bungthuam,,
15,281,01896,271020,Zawlpui,358,2406,ZAWLNUAM,264614,Zawlpui,,
15,281,01896,271021,Zamuang,1107,2406,ZAWLNUAM,264611,Zamuang,,
15,281,01896,271022,Rengdil,1588,2406,ZAWLNUAM,264589,Rengdil,,
15,281,01896,271024,Kawrthah,2812,2406,ZAWLNUAM,264556,Kawrthah South,,
15,281,01896,271025,Tumpanglui,307,2406,ZAWLNUAM,264606,Tumpanglui,,
15,281,01896,271027,Mualthuam,646,2406,ZAWLNUAM,264572,Mualthuam,,
15,281,01896,271028,Darlak,1075,2406,ZAWLNUAM,264545,Darlak,,
15,281,01896,271029,Kawrtethawveng,2008,2406,ZAWLNUAM,264554,Kawrtethawveng,,
15,281,01896,271030,Serhmun,774,2406,ZAWLNUAM,264593,Serhmun West,,
15,281,01896,271033,W.Bunghmun,840,2406,ZAWLNUAM,264536,Bunghmun West,,
15,281,01896,271040,Dampui,741,2406,ZAWLNUAM,264543,Dampui,,
15,281,01896,271041,Nalzawl,449,2406,ZAWLNUAM,264573,Nalzawl,,
15,281,01896,271042,Bawngva,760,2406,ZAWLNUAM,264533,Bawngva,,
15,281,01896,271043,Phaizau,295,2406,ZAWLNUAM,264580,Phaizau,,
15,281,01896,271047,N.Sabual,233,2406,ZAWLNUAM,264578,North Sabual,,
15,281,01896,271049,Sihthiang,1399,2406,ZAWLNUAM,264594,Sihthiang,,
15,281,01896,271056,Suarhliap,649,2406,ZAWLNUAM,264598,Suarhliap,,
15,281,01896,271057,Saikhawthlir,904,2406,ZAWLNUAM,259664,SAIKHAWTHLIR,,
15,281,01896,271058,Chuhvel,646,2406,ZAWLNUAM,264539,Chuhvel,,
15,281,01896,271061,Belkhai,496,2405,WEST PHAILENG,264534,Belkhai,,
15,281,01896,271062,Khantlang,610,2405,WEST PHAILENG,264557,Khantlang,,
15,281,01896,271063,Zomuantlang,496,2405,WEST PHAILENG,264615,Zomuantlang,,
15,281,01896,271064,Tuipuibari,1992,2405,WEST PHAILENG,264604,Tuipuibari ΓÇô I,,
15,281,01896,271065,Rajivnagar,3530,2405,WEST PHAILENG,264586,Rajiv Nagar ΓÇô II,,
15,281,01896,271071,Tuidam,1695,2406,ZAWLNUAM,264603,Tuidam,,
15,281,01896,271072,New Eden,634,2406,ZAWLNUAM,264574,New Eden,,
15,281,01896,271074,Thaidawr,712,2406,ZAWLNUAM,264600,Thaidawr,,
15,281,01896,271076,Vawngawnzo,304,2406,ZAWLNUAM,264607,Vawngawnzo,,
15,281,01896,271077,Damdiai,404,2406,ZAWLNUAM,264541,Damdiai,,
15,281,01897,271080,Damparengpui,2156,2405,WEST PHAILENG,264542,Damparengpui,,
15,281,01897,271084,Khawhnai,417,2405,WEST PHAILENG,264558,Khawhnai,,
15,281,01897,271085,Tuirum,494,2405,WEST PHAILENG,264605,Tuirum,,
15,281,01897,271087,Teirei Forest,386,2405,WEST PHAILENG,264599,Teirei Forest,,
15,281,01897,271088,W.Phaileng,4377,2405,WEST PHAILENG,264609,West Phaileng,,
15,281,01897,271090,N.Chhippui,254,2405,WEST PHAILENG,264538,Chhippui Kawnmawi,,
15,281,01897,271091,Lallen,824,2405,WEST PHAILENG,264561,Lallen,,
15,281,01897,271093,Saithah,337,2405,WEST PHAILENG,264592,Saithah,,
15,281,01897,271097,Parvatui,360,2405,WEST PHAILENG,264579,Parvatui,,
