Sl. No.,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,Akkalkuwa,5.2479865321,AKKALKUWA,21.553889,74.014083,17840,285.44,Akkalkuwa (CT),21.57526054,73.96883563
1,Akkalkuwa,0.534087013,ALVIHIR,21.618972,74.107861,915,14.64,Alivihir,21.61521758,74.11108342
2,Akkalkuwa,2.707087839,GANGAPUR,21.5875,74.016667,707,11.312,Amali Bari,21.61087305,74.02399321
3,Akkalkuwa,1.5315824245,UMARAGAVHAN,21.685838,74.081003,439,7.024,Ambaribar,21.69464335,74.06960418
4,Akkalkuwa,0.5273882771,M.AKKUSHVIHIR,21.574357,73.980198,1282,20.512,Ankushvihir (Bri),21.57510062,73.98523517
5,Akkalkuwa,2.2711389913,KUKADIPADAR,21.770152,73.837766,359,5.744,Arethi,21.7828649,73.8549806
6,Akkalkuwa,5.0220797712,WADVFALI,21.7375,73.848361,1715,27.44,Bagda,21.71588337,73.89104916
7,Akkalkuwa,4.4344816651,BHIJARIGAVAN,21.787111,73.98541,1224,19.584,Balaghat,21.76037551,73.95354529
8,Akkalkuwa,0.29948717,BRAMHANGAON,21.520111,73.951222,1721,27.536,Bamangaon,21.52271098,73.95197772
9,Akkalkuwa,2.2942251322,SINDURI,21.828889,73.913944,1194,19.104,Bamani,21.81292554,73.92802445
10,Akkalkuwa,3.4171978673,PIPALKHUTA,21.775139,73.928056,2412,38.592,Bardi,21.74766946,73.94289209
11,Akkalkuwa,1.3315225959,PIPALKHUTA,21.775139,73.928056,609,9.744,Barisugas,21.78559105,73.9217632
12,Akkalkuwa,2.4004606735,BHABALPUR,21.571417,74.086111,1582,25.312,Bhabalpur,21.58372958,74.06704233
13,Akkalkuwa,1.4194928854,BHAGDARI,21.797306,74.004778,7087,113.392,Bhagdari,21.7970564,73.99103184
14,Akkalkuwa,1.4640591494,BHAGARPANI,21.7889,74.062055,1889,30.224,Bhangrapani,21.77837683,74.05353304
15,Akkalkuwa,4.9047860775,MORAMBA,21.579194,73.88075,963,15.408,Bharadipadar,21.61176125,73.91274569
16,Akkalkuwa,0.7389748655,RASINGPUR,21.575587,73.939887,305,4.88,Bhovara,21.57287818,73.94641283
17,Akkalkuwa,1.3877046654,BHIJARIGAVAN,21.787111,73.98541,1417,22.672,Bijaligavhan,21.77555756,73.98032846
18,Akkalkuwa,3.7099733323,MOLGI,21.766472,74.006139,1103,17.648,Bijaripati,21.73327326,74.00256174
19,Akkalkuwa,3.288462979,VELI,21.741806,74.005556,965,15.44,Bokhadi,21.75137994,74.03568126
20,Akkalkuwa,0.4212401564,VIRPUR,21.574278,74.048194,69,1.104,Boripada,21.57077027,74.04973253
21,Akkalkuwa,1.3354894731,UDEPUR M.,21.533889,73.912083,543,8.688,Chandpur,21.52395194,73.91933453
22,Akkalkuwa,2.3203315487,BHAGARPANI,21.7889,74.062055,1145,18.32,Chanwai,21.79227103,74.03987717
23,Akkalkuwa,2.6386776208,KUKADIPADAR,21.770152,73.837766,719,11.504,Chapadi,21.75003453,73.85131773
24,Akkalkuwa,0.6243007194,UDEPUR M.,21.533889,73.912083,802,12.832,Chhote Udepur,21.53138855,73.91748709
25,Akkalkuwa,2.1657183656,SINDURI,21.828889,73.913944,775,12.4,Chimalkhadi,21.83067254,73.89305087
26,Akkalkuwa,3.5059461497,UMARAGAVHAN,21.685838,74.081003,1636,26.176,Chivalutar,21.68426753,74.04711405
27,Akkalkuwa,3.9764974138,DAB,21.708194,74.024167,4455,71.28,Dab,21.67487707,74.01018178
28,Akkalkuwa,4.2568112224,DENAL,21.868126,73.95257,1794,28.704,Danel,21.82986988,73.95409868
29,Akkalkuwa,4.898420365,MORAMBA,21.579194,73.88075,341,5.456,Darasarapadar,21.59713454,73.92401909
30,Akkalkuwa,1.5605811181,MANIBELI,21.820611,73.850167,295,4.72,Dhankhedi,21.82618627,73.86404103
31,Akkalkuwa,2.0273025289,DEBRAMAL,21.870667,74.011694,620,9.92,Dhebramal,21.87557404,73.99277267
32,Akkalkuwa,2.5120149729,RASINGPUR,21.575587,73.939887,666,10.656,Digiamba,21.56841328,73.96292232
33,Akkalkuwa,0.5180300908,GAVAHLI,21.530139,73.848056,767,12.272,Dodwa,21.53104928,73.84314431
34,Akkalkuwa,0.9226089229,JAMANA,21.709972,74.090833,407,6.512,Gadwani,21.70763793,74.08226302
35,Akkalkuwa,1.7060719339,GHATANI,21.590444,74.000278,289,4.624,Galotha Bk,21.57771559,74.00949128
36,Akkalkuwa,1.1964256724,SORAPADO,21.555278,74.000139,289,4.624,Galotha Kh,21.56588838,74.00205982
37,Akkalkuwa,1.3538050163,SINDURI,21.828889,73.913944,3097,49.552,Gaman,21.82303825,73.92544558
38,Akkalkuwa,0.468208679,GANGAPUR,21.5875,74.016667,1420,22.72,Gangapur,21.58490227,74.01310317
39,Akkalkuwa,0.6966200925,GAVAHLI,21.530139,73.848056,946,15.136,Gavhali,21.5330476,73.854021
40,Akkalkuwa,0.3772035761,GHATANI,21.590444,74.000278,833,13.328,Ghantani,21.59175764,74.00364161
41,Akkalkuwa,5.9487914783,GANGAPUR,21.5875,74.016667,640,10.24,Guliamba,21.56841328,73.96292232
42,Akkalkuwa,0.6973023986,HORAFALI,21.629801,73.843,2192,35.072,Horafali,21.62583265,73.84822341
43,Akkalkuwa,2.7565224616,BHAGARPANI,21.7889,74.062055,1517,24.272,Jamali (ka),21.76474044,74.05607293
44,Akkalkuwa,2.5307563618,KATAWANI,21.568157,73.985958,1517,24.272,Jamali (umar-kuwa),21.54622669,73.99250378
45,Akkalkuwa,1.837637741,JAMANA,21.709972,74.090833,1521,24.336,Jamana,21.69590639,74.10017114
46,Akkalkuwa,2.3496515276,MANIBELI,21.820611,73.850167,2165,34.64,Jangathi,21.80121466,73.85919786
47,Akkalkuwa,0.6271350941,SIGPUR BHU,21.587333,74.106583,1092,17.472,Janiamba,21.5837093,74.10193525
48,Akkalkuwa,3.0036904325,PIPALKHUTA,21.775139,73.928056,887,14.192,Jugalkhet,21.75829881,73.95079863
