State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,AGHEE,168998,18.559717,75.219317,AGHEE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,ANANDWADI,168999,18.67025,75.417444,ANANDWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,APTI,169000,18.630472,75.381167,APTI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,ARANGAON,169001,18.674,75.18155,ARANGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,BALGAVHAN,169002,18.653,75.430361,BALGAVHAN GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,BANDHKHADAK,169003,18.684361,75.437667,BANHKHADAK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,BAVI,169004,18.6264,75.253117,BAVI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,BORALE,169005,18.576667,75.293283,BORLE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,CHAUNDHI,169007,18.5733,75.18572,CHAUDHI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,CHOBHEWADI,169006,18.558183,75.323,CHOBHEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DEVDAITHAN,169008,18.7365,75.428833,DEVDAITHAN GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DHAMANGAON,169009,18.729333,75.460889,DHAMANGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DHANEGAON,169010,18.553444,75.399889,DHANEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DHANORA GROUP,169011,18.64755,75.228317,DHANORA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DHOND PARGAON,169012,18.631283,75.308833,DHONDPARGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DIGHOL GROUP,169013,18.717361,75.536556,DIGHOL GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,DONGAON,169014,18.726033,75.190933,DONGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,FAKRABAD,169015,18.64435,75.235167,FAKRABAD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,GHODEGAON,169016,18.640722,75.358583,GHODEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,GUREWADI,169017,18.621733,75.327667,GUREWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,HALGAON,169018,18.596333,75.232433,HALGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,JAMKHED,169019,18.737778,75.30425,JAMKHED GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,JAVALKE,169022,18.565017,75.376,JAVALKE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,JAWALA,169021,18.5447,75.272367,JAWALA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,JAYBHAYWADI,169023,18.696889,75.494583,JAYBHAYWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,KAUDGAON,169024,18.646667,75.174583,KAUDGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,KHANDAVI GROUP,169025,18.647283,75.27455,KHANDAVI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,KHARDA,169026,18.640306,75.470278,KHARDA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,KHURDAITHAN,169027,18.664889,75.339444,KHUDAITHAN GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,KUSADGAON,169028,18.686783,75.27355,KUSADGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,LONI,169029,18.648306,75.420722,LONI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,MATEWADI,169030,18.5599,75.242033,MATEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,MOHA,169031,18.7735,75.346556,MOHA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,MOHARI,169032,18.673306,75.499333,MOHARI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,MUJEWADI,169033,18.530867,75.3134,MUJEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,NAHULI,169034,18.711722,75.427667,NAHULI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,NANNAJ,169035,18.595367,75.309,NANNAJ GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,NAYGAON,169036,18.701083,75.422361,NAYGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,PADALI,169037,18.669617,75.315233,PADALI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,PATODA,169040,18.701933,75.238067,PATODA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,PIMPALGAON ALVA,169038,18.657222,75.378333,PIMPALGAON ALVA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,PIMPALGAON UNDA,169039,18.609278,75.373722,PIMPALGAON UNDA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,PIMPARKHED,169041,18.62535,75.2109,PIMPARKHED GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,POTEWADI,169042,18.578217,75.336083,POTEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,RAJEWADI,169043,18.623217,75.295433,RAJEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,RAJURI,169044,18.68775,75.369,RAJURI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,RATANAPUR,169045,18.708433,75.27,RATANAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,SAKAT,169046,18.785167,75.415333,SAKAT GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,SAROLA,169047,18.689,75.339167,SAROLA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,SATEPHAL,169048,18.61075,75.444861,SATEPHAL GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,SAVARGAON,169049,18.748194,75.364333,SAVARGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,SHIUR,169050,18.727361,75.372333,SHIUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,SONEGAON,169051,18.571222,75.413222,SONEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,TARADGAON GROUP,169052,18.585889,75.415917,TARADGAON GROUP GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,TELANGASHI,169053,18.701361,75.470472,TELANGASHI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,WAGHA,169054,18.613167,75.365217,WAGHA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,WAKI,169055,18.629333,75.431028,WAKI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,JAMKHED,4278,ZIKRI,169056,18.6518,75.2963,ZIKRI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,ACHALGAON,169148,19.96053,74.51435,ACHALGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,ANJANAPUR,169149,19.76298,74.33673,ANJANPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,APEGAON,169150,19.92242,74.62211,APEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,BAHADARABAD,169151,19.79111,74.36993,BAHADARA BAD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,BAHADARPUR,169152,19.78298,74.33959,BAHADARPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,BAKTARPUR,169153,19.94861,74.27191,BAKTARPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,BHOJADE,169154,19.86411,74.59004,BHOJADE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,BOLAKI,169155,19.93764,74.51258,BOLKI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,BRAMHANGAON,169156,19.95875,74.44856,BRAMANGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,CHANDEKASARE,169157,19.84221,74.43355,CHANDEKASARE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,CHANDGAVHAN,169158,19.87051,74.44418,CHANGAVHAN GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,CHASNALI,169159,19.94809,74.29172,CHASNALI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DAHIGAON BOLKA,169160,19.88858,74.58522,DAHIGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DAUCH KHURD,169162,19.85956,74.44901,DAUCH KH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DERDE CHANDWAD,169163,19.84661,74.39253,DERDE CHANDWAD  GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DERDE KORHALE,169164,19.84362,74.39158,DERDE KORHALE  GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DHAMORI,169165,19.96963,74.31464,DHAMORI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DHARANGAON,169166,19.90294,74.42146,DHARANGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DHONDEWADI,169167,19.77468,74.36684,DHONDEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DHOTRE,169168,19.86682,74.62305,DHOTRE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,DUCH BUDRUK,169161,19.86928,74.43346,DAUCH BK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,GHARI,169169,19.84366,74.43243,GHARI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,GHOYEGAON,169170,19.90447,74.61379,GHOYEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,GODHEGAON,169171,19.90884,74.60431,GHODEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,HANDEWADI,169172,19.91438,74.28423,HANDEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,HINGANI,169173,19.88479,74.42647,HINGANI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,JAWALKE,169174,19.77588,74.36677,JAWALKE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,JEUR KUMBHARI,169175,19.86797,74.46582,JEUR KUMBHARI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,JEUR PATODA,169176,19.88677,74.46511,JEUR PATODA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KAKADI,169177,19.70186,74.38953,KAKADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KANHEGAON,169178,19.83737,74.56208,KANHEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KARANJI BUDRUK,169179,19.93852,74.52807,KARANJI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KARWADI,169180,19.90585,74.30768,KARWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KASALI,169181,19.92617,74.58347,KASALI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KHIRDI GANESH,169182,19.94572,74.49381,KHIRDI  GANESH  GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KHOPADI,169183,19.84104,74.65648,KHOPADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KOKAMTHAN,169184,19.86346,74.51981,KOKAMTHAN GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KOLGAONTHADI,169185,19.90158,74.35996,KOLGAONTHADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KOLPEWADI,169186,19.89445,74.36078,KOLPEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,KUMBHARI,169187,19.90613,74.41035,KUMBHARI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,LAUKI,169188,19.88185,74.59693,LAUKI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MADHI BUDRUK,169189,19.85093,74.37826,MADHI BK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MADHI KHURD,169190,19.84682,74.37864,MADHI KH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MAHEGAON DESHMUKH,169191,19.90924,74.39249,MAHEGAON DESHMUKH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MALEGAON THADI,169192,19.92162,74.38804,MALEGAON THADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MANEGAON,169193,19.71581,74.35331,MANEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MANJOOR,169194,19.94281,74.31031,MANJOOR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MAYEGAON DEVI,169195,19.93944,74.32965,MAYEGAON DEVI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MORVIS,169196,19.95659,74.29493,MORVIS GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,MURSHADPUR,169197,19.89587,74.44705,MURSHADPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,NATEGAON,169198,19.98271,74.47821,NATEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,OGADI,169199,19.96694,74.52344,OGADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,PADHEGAON,169200,19.93093,74.55363,PADHEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,POHEGAON BUDRUK GROUP,169201,19.81711,74.39711,POHEGAON BK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,RANJANGAON DESHMUKH,169202,19.73859,74.33852,RANJANGAON DESHMUKH  GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,RAVANDA,169203,19.96421,74.40684,RAVANDA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SADE,169204,19.83444,74.53996,SADE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SANGVI BHUSAR,169205,19.93623,74.35756,SANGVI BHUSAR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SANWATSAR,169206,19.87612,74.52199,SANWATSAR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SHAHAJAPUR,169207,19.88089,74.34871,SAHAJAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SHAHAPUR,169208,19.79685,74.37118,SHAHAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SHINGANAPUR,169209,19.90401,74.50949,SHINGANAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SHIRASGAON,169210,19.93601,74.60269,SHIRASGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SONARI,169211,19.92363,74.41064,SONARAI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SONEWADI,169212,19.80384,74.42087,SONEWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,SUREGAON,169213,19.89365,74.35029,SUREGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,TAKLI,169214,19.93133,74.44781,TAKLI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,TALEGAON MALE,169215,19.88879,74.63395,TALEGAON MALE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,TILAWANI,169216,19.93525,74.60658,TILWANI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,UKKADGAON,169217,19.93859,74.63375,UKKADGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,VELAPUR,169219,19.90722,74.33488,VELAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,VES,169221,19.76487,74.38314,VES GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,WADGAON,169218,19.95911,74.25722,WADGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,WARI,169220,19.81607,74.56901,WARI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,KOPARGAON,4280,YESGAON,169222,19.94612,74.48825,YESGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,ADGAON BUDRUK,169660,19.65188,74.43164,ADGAON BD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,ADGAON KHURD,169659,19.65211,74.42932,ADGAON KD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,ASTGAON,169662,19.67151,74.50433,ASTAGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,BABHALESHWAR,169663,19.59669,74.50924,BABHALESWAR  GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,BHAGAVATIPUR,169664,19.53645,74.53321,BHAGVATIPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,CHANDRAPUR,169665,19.56028,74.43639,CHANDRAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,CHITALI,169666,19.68585,74.62885,CHITALI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,DADH BUDRUK,169667,19.52396,74.42044,DADH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,DAHIGAON KORHALE,169668,19.71195,74.46544,DAHIGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,DHANGARWADI,169669,19.65668,74.60524,DHANGARWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,DORHALE,169670,19.76145,74.42747,DAHIGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,DURGAPUR,169671,19.54213,74.44139,DURGAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,EKRUKHE,169661,19.70572,74.54195,EKRUKHE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,GOGALGAON,169672,19.60902,74.43129,GOGALGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,HANMATGAON,169673,19.531194,74.468277,HANMATGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,HASANAPUR,169674,19.55602,74.43003,HASANAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,JALGAON,169675,19.70766,74.61667,JALGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,KANKUTI,169677,19.76197,74.44119,KANKUTI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,KELWAD BUDRUK-KHURD,169678,19.69103,74.43105,KELWAD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,KHADKE WAKE,169676,19.66677,74.45209,KHADKI WAKI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,KOLHAR BUDRUK,169680,19.53804,74.53434,KOLHAR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,KORHALE,169679,19.72555,74.41996,KORHALE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,LOHGAON,169681,19.58941,74.50398,LOHAGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,LONI BUDRUK,169682,19.57775,74.46761,LONI BK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,LONI KHURD,169683,19.58442,74.46875,LONI KH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,MAMADAPUR,169684,19.61014,74.55641,MAMADAPUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,NANDUR BUDRUK-KHURD,169686,19.62077,74.58673,NANDUR  BK KD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,NANDURKHI BUDRUK,169687,19.74161,74.44814,NANDURKHI BUDRUK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,NANDURKHI KHURD,169688,19.74642,74.44335,NANDURKHI KHURD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,NATHUPATLACHIWADI,169685,19.74331,74.54565,NATHUPATLACHIWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,NIGHOJ,169689,19.78692,74.47056,NIGHOJ GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,NIMGAON KORHALE,169690,19.78454,74.46781,NIMGAON KORHALE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,PATHARE BUDRUK,169691,19.530722,74.478222,PATHARE BK,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,PIMPALAS,169692,19.70403,74.47301,PIMPALAS GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,PIMPALWADI,169695,19.76126,74.52113,PIMPALWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,PIMPRI LOKAI,169693,19.66594,74.40361,PIMPRI LOKAI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,PIMPRI NIRMAL,169694,19.63947,74.48927,PIMPARI NIRMAL GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,PUNTAMBA,169696,19.76666,74.61942,PUNTAMBA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,RAJURI,169697,19.60654,74.54311,RAJURI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,RAMPURWADI,169698,19.72063,74.58481,RAMPURWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,RANJANGAON KHURD,169699,19.68605,74.53635,RANJANGAON KHURD GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,RANJANKHOL,169700,19.61166,74.61683,RAJANKHOL GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,RUI,169701,19.79185,74.50232,RUI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,SAKURI,169702,19.72121,74.47278,SAKURI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,SAVLI VIHIR BUDRUK,169703,19.80272,74.47011,SAVALIVIHIR BK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,SAVLIVIHIR,169704,19.81013,74.45741,SAVALIVIHIR KH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,SHINGAVE,169705,19.79883,74.55693,SHINGAVE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,TISGAON,169706,19.57376,74.53041,TISGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,WAKADI,169707,19.67856,74.58016,WAKADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHATA,4285,WALKI,169708,19.74802,74.40174,WALKI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,ARADGAON,169711,19.428778,74.693361,ARADGAON,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,BABHULGAON,169712,19.302139,74.639222,BABHULGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,BARAGAON NANDUR,169713,19.362694,74.604167,BARAGAONNANDUR GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,BODHEGAON,169714,19.52658,74.67566,BODHEGAON P,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,BRAMHANGAON BHAND,169715,19.540556,74.667833,Bramhangaon Bhand GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,BRAMHANI,169716,19.383389,74.755889,BRABHANI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,CHANDEGAON,169717,19.557,74.662278,Chandegaon GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,CHEDGAON,240779,19.360056,74.770556,CHEDGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,CHINCHALE,169719,19.36075,74.5345,CHNCHALE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,CHINCHOLI,169721,19.513056,74.549389,CHINCHOLI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,CHINCHVIHIRE,169722,19.434361,74.585222,CHINCHVIHIRE GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,DARADGAONTHADI,169723,19.353528,74.473833,DARADGAON THADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,DESVANDI,169725,19.396667,74.672444,DESVANDI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,DHAMORI BUDRUK,169726,19.298167,74.667306,DHAMORIB BK GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,DHAMORI KHURD,169727,19.298111,74.673194,DHAMORI KH GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,DIGRAS,169729,19.361583,74.633472,DIGRAS GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,GANEGAON,169730,19.452667,74.562028,GANEGAON GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,GHORPADWADI,169732,19.386889,74.569611,GHORPADWADI GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,GUHA,169733,19.479139,74.575611,GUHA GP,21
MAHARASHTRA,27,AHMEDNAGAR,522,RAHURI,4286,GUNJALE,169734,19.283167,74.805444,GUNJALE GP,21
