State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
MIZORAM,15,AIZAWL,283,AIBAWK,2387,AIBAWK Village Council,244594,23.556409,92.70465,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,CHAMRING Village Council,244601,23.426701,92.763066,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,CHAWILUNG Village Council,244603,23.455418,92.805537,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,FALKAWN Village Council,244591,23.62325,92.725565,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,HMUIFANG Village Council,244600,23.449489,92.758223,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,HUALGO Village Council,244588,23.658335,92.727054,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,KELSIH Village Council,244590,23.635855,92.72189,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,LAMCHHIP Village Council,244602,23.434887,92.782311,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,LUNGSEI Village Council,244604,23.450013,92.682896,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,MAUBUANG Village Council,244597,23.494704,92.707178,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,MELRIAT Village Council,244589,23.64775,92.725828,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,MUALLUNGTHU Village Council,244592,23.609609,92.72021,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,PHULPUI Village Council,244596,23.531327,92.732026,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,SAILAM Village Council,244607,23.351292,92.79761,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,SAMLUKHAI Village Council,244605,23.413405,92.73285,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,SATEEK Village Council,244595,23.543573,92.704223,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,SIALSUK Village Council,244606,23.398077,92.749555,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,SUMSUIH Village Council,244599,23.470956,92.742106,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,TACHHIP Village Council,244593,23.584651,92.717319,Panchayath,2
MIZORAM,15,AIZAWL,283,AIBAWK,2387,THIAK Village Council,244598,23.471031,92.715726,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,DARLAWN Block,888888,24.019661,92.926415,Block,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,DARLAWN Village Council,244616,24.019094,92.926179,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,E.PHAILENG Village Council,244613,23.909513,92.923052,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,HMUNNGHAK Village Council,244609,23.861151,92.886939,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,KEPRAN Village Council,244614,23.944519,92.936439,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,KHANPUI Village Council,244610,23.855798,92.907815,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,KHAWPUAR Village Council,244630,24.231776,92.99331,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,KHAWRUHLIAN Village Council,244608,23.868739,92.876461,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,LAILAK Village Council,244611,23.837806,92.909216,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,LUNGSUM Village Council,244622,24.155458,92.944108,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,MAUCHAR Village Council,244634,24.355399,92.923049,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,N.KHAWDUNGSEI Village Council,244631,24.220006,92.920964,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,N.SERZAWL Village Council,244617,24.027362,92.890742,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,N.VERVEK Village Council,244623,24.185968,92.948602,Panchayath,2
MIZORAM,15,AIZAWL,283,DARLAWN,2388,PALSANG Village Council,244633,24.283232,92.192138,Panchayath,2
