STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
16,289,01922,271845,Ishanpur(Part),1881,2437,Hezamara,254157,Sonaram,
16,289,01922,271849,Mohanpur(Part),7854,2445,Mohanpur,261249,Rangachara,
16,289,01922,271852,Bamutia,9804,6791,Bamutia,261254,North Bamutia,
16,289,01922,271854,Laxmilunga,6948,6791,Bamutia,261251,North Laxmilunga,
16,289,01922,271857,Barjala (Part),10551,2445,Mohanpur,254130,Chikancherra,
16,289,01922,271859,Debendrachandranagar (Part),9231,6721,Lefunga,254237,Abhicharan,
16,289,01922,271864,Narsingarh (CT),7404,6791,Bamutia,261196,Bamutia,
16,289,01922,271865,Singarbil (CT),12917,2445,Mohanpur,261196,Bamutia,
16,289,01922,271866,Gandhigram (CT),14572,2445,Mohanpur,261255,Nabagram,
16,289,01923,271867,Paschim Simna (Part),1526,2437,Hezamara,254156,Sarat Chowdhury,
16,289,01923,271868,Megliband (Part),2168,2437,Hezamara,254148,Meglibandh,
16,289,01923,271869,Purba Simna,1896,2437,Hezamara,254153,East Simna,
16,289,01923,271870,Uttar Dashgharia,717,2437,Hezamara,254155,Sankhola,
16,289,01923,271871,Sankhola,2800,2437,Hezamara,254155,Sankhola,
16,289,01923,271873,Baluaban,2844,2437,Hezamara,254143,Balurbondh,
16,289,01923,271874,Mantala(Part),496,2437,Hezamara,254157,Sonaram,
16,289,01923,271875,Baikunthapur,2645,2437,Hezamara,254142,Baikunthapur,
16,289,01923,271876,Dakshin Dashgharia,480,2437,Hezamara,254297,Bharat Chowdhury,
16,289,01923,271878,Kamukchhara,886,2437,Hezamara,254147,Kamukcherra,
16,289,01923,271879,Surendranagar,1985,2437,Hezamara,254158,Surendranagar,
16,289,01923,271880,Mohanpur (Part),504,2445,Mohanpur,261245,Simna,
16,289,01923,271881,Noagaon (Part),1226,2437,Hezamara,254152,East Noagaon,
16,289,01923,271882,Thamakari,3005,2437,Hezamara,254154,East Tamakari,
16,289,01923,271883,Barkanthalia,3080,2437,Hezamara,273355,Rubri Twisa,
16,289,01923,271884,Chandpur,5009,2437,Hezamara,254145,Chandpur,
16,289,01923,271885,Domrakaridak,1305,2437,Hezamara,254146,Dumrakaridak,
16,289,01923,271886,Tuichhamankuri,1301,2437,Hezamara,254159,Tuichamongkarai,
16,289,01924,271887,Khengrabari,304,0,STRING ENTERED,254260,Bagabil,
16,289,01924,271888,Bagabil,1632,0,STRING ENTERED,254260,Bagabil,
16,289,01924,271889,Ratanpur,3021,0,STRING ENTERED,254270,Ratanpur,
16,289,01924,271890,Paschim Belchhara,3007,0,STRING ENTERED,254261,West Belcherra,
16,289,01924,271891,Purba Belchhara,1890,0,STRING ENTERED,254267,East Belcherra,
16,289,01924,271893,Gayamanibari,1810,0,STRING ENTERED,254264,Gayamanibari,
16,289,01924,271894,Dakshin Padmabil,2437,0,STRING ENTERED,254262,South Padmabil,
16,289,01924,271895,Dhalabil (Part),1222,0,STRING ENTERED,261240,Bagan,
16,289,01924,271897,Dakshin Ramchandraghat,4403,0,STRING ENTERED,254263,South Ram Chandra Ghat,
16,289,01924,271898,Tuihachingbari,1941,0,STRING ENTERED,254271,Twihaching Bari,
16,289,01924,271899,Akhrabari,2590,0,STRING ENTERED,254259,Akhrabari,
16,289,01924,271903,Ramdayalbari (Part),1846,0,STRING ENTERED,254266,Paglabari,
16,289,01924,271904,Paglabari,2796,0,STRING ENTERED,254266,Paglabari,
16,289,01925,271905,Paschim Singhichhara (Part),11127,0,STRING ENTERED,261239,South Singicherra,
16,289,01925,271906,Purba Singhichhara,2130,0,STRING ENTERED,254319,East Singhicherra,
16,289,01925,271910,Uttar Padmabil (Part),1391,0,STRING ENTERED,254273,North Padmabil,
16,289,01925,271911,Dhalabil (Part),4079,0,STRING ENTERED,254265,Kshirode Nagar,
16,289,01925,271912,Uttar Ramchandraghat (Part),2564,0,STRING ENTERED,254272,Upendranagar,
16,289,01925,271913,Sonatala,7072,0,STRING ENTERED,261241,East Sonatala,
16,289,01925,271914,Purba Ramchandraghat (Part),4407,0,STRING ENTERED,254269,Rasaraj Nagar,
16,289,01925,271917,Santinagar (Part),1898,0,STRING ENTERED,254285,Holongmutai,
16,289,01926,271918,Chamubasti,1295,0,STRING ENTERED,254282,Banbazar,
16,289,01926,271919,Banbazar,2214,0,STRING ENTERED,254280,Asharambari,
16,289,01926,271920,Asharambari,1852,0,STRING ENTERED,254288,West Karangicherra,
16,289,01926,271921,Paschim Karangichhara,2464,0,STRING ENTERED,254283,Behalabari,
16,289,01926,271922,Purba Karangichhara,1736,0,STRING ENTERED,254284,Bidyabil,
16,289,01926,271923,Sukhiabari,193,0,STRING ENTERED,254284,Bidyabil,
16,289,01926,271924,Remachhara,271,0,STRING ENTERED,254291,East Bachaibari,
16,289,01926,271925,Purba Laxmichhara,2739,0,STRING ENTERED,254283,Behalabari,
16,289,01926,271926,Paschim Laxmichhara,2562,0,STRING ENTERED,254289,West Laxmicherra,
16,289,01926,271927,Paschim Bachaibari,2038,0,STRING ENTERED,254286,West Bachaibari,
16,289,01926,271928,Purba Bachaibari,3283,0,STRING ENTERED,254291,East Bachaibari,
16,289,01926,271929,Paschim Champachhara,4533,0,STRING ENTERED,254296,Takchayabari,
16,289,01926,271930,Purba Champachhara,2316,0,STRING ENTERED,254292,East Champacherra,
16,289,01926,271931,Shikaribari,1549,0,STRING ENTERED,254295,Sikaribari,
16,289,01926,271932,Maidanbari,928,0,STRING ENTERED,254292,East Champacherra,
16,289,01926,271933,Ramkrishnabari,485,0,STRING ENTERED,254293,East Rajngar,
16,289,01926,271934,Purba Rajnagar,4301,0,STRING ENTERED,254293,East Rajngar,
16,289,01926,271935,Paschim Rajnagar,3921,0,STRING ENTERED,254290,West Rajnagar,
16,289,01926,271937,Badlabari,1359,0,STRING ENTERED,254281,Badlabari,
16,289,01926,271938,Mainakbari,251,0,STRING ENTERED,254281,Badlabari,
16,289,01927,271941,Dwarikapur (Part),5642,0,STRING ENTERED,254268,Ramdayal Bari,
16,289,01927,271942,Durgapur,4556,0,STRING ENTERED,254197,Prem Singh Orang,
16,289,01927,271945,Uttar Ghilatali,5991,0,STRING ENTERED,254200,North Ghilatali,
16,289,01927,271947,Kunjaban,6870,0,STRING ENTERED,254196,West Kunjaban,
16,289,01927,271948,Paschim Kalyanpur,1049,0,STRING ENTERED,254199,Ruprai,
16,289,01927,271949,Madhya Kalyanpur,7964,0,STRING ENTERED,254198,Rajani Sardar Para,
16,289,01927,271951,Kamalnagar,4625,0,STRING ENTERED,261243,North Kamalnagar,
16,289,01927,271952,Ghilatali,5898,0,STRING ENTERED,261242,South Ghilatali,
16,289,01928,271955,Moharchhara,9171,0,STRING ENTERED,254277,Khamarbari,
16,289,01928,271956,Uttar Pulinpur,5476,0,STRING ENTERED,254275,Duski,
